TAXON
"Equisetum variegatum Schleich. ex F.Weber & D.Mohr, 1807"
"Equisetum x moorei Newman, 1854"
"Eragrostis cilianensis (All.) Vignolo ex Janch., 1907"
"Eragrostis mexicana (Hornem.) Link, 1827"
"Eragrostis minor Host, 1809"
"Eragrostis multicaulis Steud., 1854"
"Eragrostis pectinacea (Michx.) Nees, 1841"
"Eragrostis pilosa (L.) P.Beauv., 1812"
"Eragrostis virescens J.Presl, 1830"
"Erica ciliaris Loefl. ex L., 1753"
"Erica cinerea L., 1753"
"Erica scoparia L., 1753"
"Erica scoparia subsp. scoparia L., 1753"
"Erica tetralix L., 1753"
"Erica vagans L., 1770"
"Erigeron acris L., 1753"
"Erigeron acris subsp. acris L., 1753"
"Erigeron annuus (L.) Desf., 1804"
"Erigeron bonariensis L., 1753"
"Erigeron canadensis L., 1753"
"Erigeron karvinskianus DC., 1836"
"Erigeron sumatrensis Retz., 1810"
"Eriophorum angustifolium Honck., 1782"
"Eriophorum angustifolium subsp. angustifolium Honck., 1782"
"Eriophorum gracile Koch ex Roth, 1806"
"Eriophorum latifolium Hoppe, 1800"
"Eriophorum vaginatum L., 1753"
"Erodium cicutarium (L.) L'Hér., 1789"
"Erodium cicutarium subsp. bipinnatum (Cav.) Tourlet, 1907"
"Erodium cicutarium subsp. cicutarium (L.) L'Hér., 1789"
"Erodium moschatum (L.) L'Hér., 1789"
"Eruca vesicaria (L.) Cav., 1802"
"Erucastrum supinum (L.) Al-Shehbaz & Warwick, 2003"
"Ervilia hirsuta (L.) Opiz, 1852"
"Ervum gracile (Loisel.) DC., 1813"
"Ervum tetraspermum L., 1753"
"Eryngium campestre L., 1753"
"Erysimum cheiranthoides L., 1753"
"Erysimum cheiranthoides subsp. cheiranthoides L., 1753"
"Erysimum odoratum Ehrh., 1792"
"Euonymus europaeus L., 1753"
"Eupatorium cannabinum L., 1753"
"Eupatorium cannabinum subsp. cannabinum L., 1753"
"Euphorbia amygdaloides L., 1753"
"Euphorbia amygdaloides subsp. amygdaloides L., 1753"
"Euphorbia cyparissias L., 1753"
"Euphorbia dulcis L., 1753"
"Euphorbia dulcis subsp. incompta (Ces.) Nyman, 1890"
"Euphorbia esula L., 1753"
"Euphorbia esula subsp. esula L., 1753"
"Euphorbia esula subsp. saratoi (Ardoino) P.Fourn., 1936"
"Euphorbia exigua L., 1753"
"Euphorbia falcata L., 1753"
"Euphorbia flavicoma DC., 1813"
"Euphorbia flavicoma subsp. verrucosa (Fiori) Pignatti, 1973"
"Euphorbia helioscopia L., 1753"
"Euphorbia helioscopia subsp. helioscopia L., 1753"
"Euphorbia lathyris L., 1753"
"Euphorbia loreyi Jord., 1855"
"Euphorbia maculata L., 1753"
"Euphorbia palustris L., 1753"
"Euphorbia peplus L., 1753"
"Euphorbia platyphyllos L., 1753"
"Euphorbia prostrata Aiton, 1789"
"Euphorbia seguieriana Neck., 1770"
"Euphorbia seguieriana subsp. seguieriana Neck., 1770"
"Euphorbia stricta L., 1759"
"Euphrasia micrantha Rchb., 1831"
"Euphrasia nemorosa (Pers.) Wallr., 1815"
"Euphrasia officinalis L., 1753"
"Euphrasia officinalis subsp. rostkoviana (Hayne) F.Towns., 1884"
"Euphrasia stricta D.Wolff ex J.F.Lehm., 1809"
"Exaculum pusillum (Lam.) Caruel, 1886"
"Fagus sylvatica L., 1753"
"Falcaria vulgaris Bernh., 1800"
"Fallopia convolvulus (L.) Á.Löve, 1970"
"Fallopia dumetorum (L.) Holub, 1971"
"Festuca filiformis Pourr., 1788"
"Festuca heteropachys (St.-Yves) Patzke ex Auquier, 1973"
"Festuca heterophylla Lam., 1779"
"Festuca lemanii Bastard, 1809"
"Festuca longifolia Thuill., 1799"
"Festuca marginata (Hack.) K.Richt., 1890"
"Festuca marginata subsp. marginata (Hack.) K.Richt., 1890"
"Festuca ovina L., 1753"
"Festuca ovina subsp. guestfalica (Boenn. ex Rchb.) K.Richt., 1890"
"Festuca rubra L., 1753"
"Festuca rubra subsp. rubra L., 1753"
"Ficaria verna Huds., 1762"
"Filago arvensis L., 1753"
"Filago germanica L., 1763"
"Filago lutescens Jord., 1846"
"Filago lutescens subsp. lutescens Jord., 1846"
"Filago pyramidata L., 1753"
"Filipendula ulmaria (L.) Maxim., 1879"
"Filipendula vulgaris Moench, 1794"
"Foeniculum vulgare Mill., 1768"
"Foeniculum vulgare subsp. vulgare Mill., 1768"
"Fragaria moschata Weston, 1771"
"Fragaria vesca L., 1753"
"Fragaria viridis subsp. viridis Weston, 1771"
"Fragaria viridis Weston, 1771"
"Frangula alnus Mill., 1768"
"Frangula alnus subsp. alnus Mill., 1768"
"Fraxinus angustifolia subsp. angustifolia Vahl, 1804"
"Fraxinus angustifolia Vahl, 1804"
"Fraxinus excelsior L., 1753"
"Fumana procumbens (Dunal) Gren. & Godr., 1847"
"Fumaria bastardii Boreau, 1847"
"Fumaria capreolata L., 1753"
"Fumaria densiflora DC., 1813"
"Fumaria muralis Sond. ex W.D.J.Koch, 1845"
"Fumaria officinalis L., 1753"
"Fumaria parviflora Lam., 1788"
"Fumaria vaillantii Loisel., 1809"
"Gagea bohemica (Zauschn.) Schult. & Schult.f., 1829"
"Gagea villosa (M.Bieb.) Sweet, 1826"
"Galanthus nivalis L., 1753"
"Galatella linosyris (L.) Rchb.f., 1854"
"Galega officinalis L., 1753"
"Galeopsis angustifolia Ehrh. ex Hoffm., 1804"
"Galeopsis segetum Neck., 1770"
"Galeopsis tetrahit L., 1753"
"Galinsoga parviflora Cav., 1795"
"Galinsoga quadriradiata Ruiz & Pav., 1798"
"Galium album Mill., 1768"
"Galium aparine L., 1753"
"Galium boreale L., 1753"
"Galium debile Desv., 1818"
"Galium divaricatum Pourr. ex Lam., 1788"
"Galium elongatum C.Presl, 1822"
"Galium fleurotii Jord., 1849"
"Galium glaucum L., 1753"
"Galium odoratum (L.) Scop., 1771"
"Galium palustre L., 1753"
"Galium parisiense L., 1753"
"Galium pumilum Murray, 1770"
"Galium saxatile L., 1753"
"Galium spurium L., 1753"
"Galium tricornutum Dandy, 1957"
"Galium uliginosum L., 1753"
"Galium verum L., 1753"
"Galium verum subsp. verum L., 1753"
"Galium verum subsp. wirtgenii (F.W.Schultz) Oborny, 1885"
"Galium x pomeranicum Retz., 1795"
"Gaudinia fragilis (L.) P.Beauv., 1812"
"Genista anglica L., 1753"
"Genista germanica L., 1753"
"Genista pilosa L., 1753"
"Genista sagittalis L., 1753"
"Genista tinctoria L., 1753"
"Gentiana cruciata L., 1753"
"Gentiana pneumonanthe L., 1753"
"Gentianella germanica (Willd.) Börner, 1912"
"Gentianopsis ciliata (L.) Ma, 1951"
"Geranium columbinum L., 1753"
"Geranium dissectum L., 1755"
"Geranium lucidum L., 1753"
"Geranium molle L., 1753"
"Geranium purpureum Vill., 1786"
"Geranium pusillum L., 1759"
"Geranium pyrenaicum Burm.f., 1759"
"Geranium pyrenaicum subsp. pyrenaicum Burm.f., 1759"
"Geranium robertianum L., 1753"
"Geranium rotundifolium L., 1753"
"Geranium sanguineum L., 1753"
"Geum rivale L., 1753"
"Geum urbanum L., 1753"
"Geum x intermedium Ehrh., 1791"
"Glebionis segetum (L.) Fourr., 1869"
"Glechoma hederacea L., 1753"
"Globularia bisnagarica L., 1753"
"Glyceria declinata Bréb., 1859"
"Glyceria fluitans (L.) R.Br., 1810"
"Glyceria maxima (Hartm.) Holmb., 1919"
"Glyceria notata Chevall., 1827"
"Glyceria striata (Lam.) Hitchc., 1928"
"Glyceria x pedicellata F.Towns., 1850"
"Gnaphalium uliginosum L., 1753"
"Goodyera repens (L.) R.Br., 1813"
"Gratiola officinalis L., 1753"
"Groenlandia densa (L.) Fourr., 1869"
"Gymnadenia conopsea (L.) R.Br., 1813"
"Gymnadenia odoratissima (L.) Rich., 1817"
"Gymnocarpium dryopteris (L.) Newman, 1851"
"Gymnocarpium robertianum (Hoffm.) Newman, 1851"
"Gypsophila muralis L., 1753"
"Hammarbya paludosa (L.) Kuntze, 1891"
"Hedera helix L., 1753"
"Helianthemum apenninum (L.) Mill., 1768"
"Helianthemum canum (L.) Baumg., 1816"
"Helianthemum nummularium (L.) Mill., 1768"
"Helianthemum x sulphureum Willd. ex Schltdl., 1813"
"Helianthus tuberosus L., 1753"
"Helianthus x laetiflorus Pers., 1807"
"Helictochloa pratensis (L.) Romero Zarco, 2011"
"Helictochloa pratensis subsp. pratensis (L.) Romero Zarco, 2011"
"Heliotropium europaeum L., 1753"
"Helleborus foetidus L., 1753"
"Helleborus viridis L., 1753"
"Helminthotheca echioides (L.) Holub, 1973"
"Helosciadium inundatum (L.) W.D.J.Koch, 1824"
"Helosciadium nodiflorum (L.) W.D.J.Koch, 1824"
"Helosciadium repens (Jacq.) W.D.J.Koch, 1824"
"Heracleum mantegazzianum Sommier & Levier, 1895"
"Heracleum sphondylium L., 1753"
"Heracleum sphondylium subsp. sphondylium L., 1753"
"Herminium monorchis (L.) R.Br., 1813"
"Herniaria glabra L., 1753"
"Herniaria hirsuta L., 1753"
"Hesperis matronalis L., 1753"
"Hieracium glaucinum Jord., 1848"
"Hieracium lachenalii Suter, 1802"
"Hieracium laevigatum Willd., 1803"
"Hieracium maculatum Schrank, 1789"
"Hieracium murorum L., 1753"
"Hieracium sabaudum L., 1753"
"Hieracium umbellatum L., 1753"
"Himantoglossum hircinum (L.) Spreng., 1826"
"Hippocrepis comosa L., 1753"
"Hippuris vulgaris L., 1753"
"Hirschfeldia incana (L.) Lagr.-Foss., 1847"
"Holcus lanatus L., 1753"
"Holcus lanatus subsp. lanatus L., 1753"
"Holcus mollis L., 1759"
"Holcus mollis subsp. mollis L., 1759"
"Holosteum umbellatum L., 1753"
"Hordelymus europaeus (L.) Harz, 1885"
"Hordeum murinum L., 1753"
"Hordeum murinum subsp. murinum L., 1753"
"Hordeum secalinum Schreb., 1771"
"Hornungia petraea (L.) Rchb., 1838"
"Hottonia palustris L., 1753"
"Humulus lupulus L., 1753"
"Huperzia selago (L.) Bernh. ex Schrank & Mart., 1829"
"Huperzia selago subsp. selago (L.) Bernh. ex Schrank & Mart., 1829"
"Hyacinthoides non-scripta (L.) Chouard ex Rothm., 1944"
"Hydrocharis morsus-ranae L., 1753"
"Hydrocotyle ranunculoides L.f., 1782"
"Hydrocotyle vulgaris L., 1753"
"Hylotelephium telephium (L.) H.Ohba, 1977"
"Hyoscyamus niger L., 1753"
"Hypericum androsaemum L., 1753"
"Hypericum elodes L., 1759"
"Hypericum hirsutum L., 1753"
"Hypericum humifusum L., 1753"
"Hypericum maculatum Crantz, 1763"
"Hypericum maculatum subsp. obtusiusculum (Tourlet) Hayek, 1912"
"Hypericum montanum L., 1755"
"Hypericum perforatum L., 1753"
"Hypericum perforatum var. perforatum L., 1753"
"Hypericum pulchrum L., 1753"
"Hypericum tetrapterum Fr., 1823"
"Hypericum x desetangsii Lamotte, 1874"
"Hypochaeris glabra L., 1753"
"Hypochaeris maculata L., 1753"
"Hypochaeris radicata L., 1753"
"Hyssopus officinalis L., 1753"
"Iberis amara L., 1753"
"Ilex aquifolium L., 1753"
"Illecebrum verticillatum L., 1753"
"Impatiens balfouri Hook.f., 1903"
"Impatiens capensis Meerb., 1775"
"Impatiens glandulifera Royle, 1833"
"Impatiens noli-tangere L., 1753"
"Impatiens parviflora DC., 1824"
"Inula britannica L., 1753"
"Inula conyza DC., 1836"
"Inula helenium L., 1753"
"Inula hirta L., 1753"
"Inula salicina L., 1753"
"Iris foetidissima L., 1753"
"Iris pseudacorus L., 1753"
"Isatis tinctoria L., 1753"
"Isolepis fluitans (L.) R.Br., 1810"
"Isolepis setacea (L.) R.Br., 1810"
"Isopyrum thalictroides L., 1753"
"Jacobaea adonidifolia (Loisel.) Mérat, 1812"
"Jacobaea aquatica (Hill) G.Gaertn., B.Mey. & Scherb., 1801"
"Jacobaea erucifolia (L.) G.Gaertn., B.Mey. & Scherb., 1801"
"Jacobaea erucifolia subsp. erucifolia (L.) G.Gaertn., B.Mey. & Scherb., 1801"
"Jacobaea paludosa (L.) G.Gaertn., B.Mey. & Scherb., 1801"
"Jacobaea paludosa subsp. angustifolia (Holub) B.Nord. & Greuter, 2006"
"Jacobaea vulgaris Gaertn., 1791"
"Jacobaea vulgaris subsp. vulgaris Gaertn., 1791"
"Jasione montana L., 1753"
"Juglans regia L., 1753"
"Juncus acutiflorus Ehrh. ex Hoffm., 1791"
"Juncus anceps Laharpe, 1827"
"Juncus articulatus L., 1753"
"Juncus articulatus subsp. articulatus L., 1753"
"Juncus bufonius L., 1753"
"Juncus bufonius var. bufonius L., 1753"
"Juncus bulbosus L., 1753"
"Juncus bulbosus subsp. bulbosus L., 1753"
"Juncus capitatus Weigel, 1772"
"Juncus compressus Jacq., 1762"
"Juncus conglomeratus L., 1753"
"Juncus effusus L., 1753"
"Juncus inflexus L., 1753"
"Juncus pygmaeus Rich. ex Thuill., 1799"
"Juncus squarrosus L., 1753"
"Juncus subnodulosus Schrank, 1789"
"Juncus tenageia Ehrh. ex L.f., 1782"
"Juncus tenuis subsp. tenuis Willd., 1799"
"Juncus tenuis Willd., 1799"
"Juniperus communis L., 1753"
"Juniperus communis subsp. communis L., 1753"
"Kickxia elatine (L.) Dumort., 1827"
"Kickxia elatine subsp. elatine (L.) Dumort., 1827"
"Kickxia spuria (L.) Dumort., 1827"
"Knautia arvensis (L.) Coult., 1828"
"Koeleria macrantha (Ledeb.) Schult., 1824"
"Koeleria pyramidata (Lam.) P.Beauv., 1812"
"Koeleria pyramidata subsp. pyramidata (Lam.) P.Beauv., 1812"
"Koeleria vallesiana (Honck.) Gaudin, 1808"
"Koeleria vallesiana subsp. vallesiana (Honck.) Gaudin, 1808"
"Laburnum anagyroides Medik., 1787"
"Lactuca muralis (L.) Gaertn., 1791"
"Lactuca perennis L., 1753"
"Lactuca saligna L., 1753"
"Lactuca serriola L., 1756"
"Lactuca virosa L., 1753"
"Lagarosiphon major (Ridl.) Moss, 1928"
"Lamium album L., 1753"
"Lamium amplexicaule L., 1753"
"Lamium galeobdolon (L.) L., 1759"
"Lamium galeobdolon subsp. montanum (Pers.) Hayek, 1929"
"Lamium hybridum Vill., 1786"
"Lamium maculatum (L.) L., 1763"
"Lamium purpureum L., 1753"
"Laphangium luteoalbum (L.) Tzvelev, 1994"
"Lappula squarrosa (Retz.) Dumort., 1827"
"Lapsana communis L., 1753"
"Lapsana communis subsp. communis L., 1753"
"Laserpitium latifolium L., 1753"
"Laserpitium latifolium subsp. latifolium L., 1753"
"Lathraea clandestina L., 1753"
"Lathraea squamaria L., 1753"
"Lathyrus angulatus L., 1753"
"Lathyrus aphaca L., 1753"
"Lathyrus hirsutus L., 1753"
"Lathyrus latifolius L., 1753"
"Lathyrus linifolius (Reichard) Bässler, 1971"
"Lathyrus niger (L.) Bernh., 1800"
"Lathyrus niger subsp. niger (L.) Bernh., 1800"
"Lathyrus nissolia L., 1753"
"Lathyrus palustris L., 1753"
"Lathyrus pratensis L., 1753"
"Lathyrus sphaericus Retz., 1783"
"Lathyrus sylvestris L., 1753"
"Lathyrus tuberosus L., 1753"
"Leersia oryzoides (L.) Sw., 1788"
"Legousia hybrida (L.) Delarbre, 1800"
"Legousia speculum-veneris (L.) Chaix, 1785"
"Lemna gibba L., 1753"
"Lemna minor L., 1753"
"Lemna minuta Kunth, 1816"
"Lemna trisulca L., 1753"
"Lemna turionifera Landolt, 1975"
"Leontodon hispidus L., 1753"
"Leontodon hispidus subsp. hispidus L., 1753"
"Leontodon hispidus subsp. hyoseroides (Welw. ex Rchb.) Gremli, 1885"
"Leontodon saxatilis Lam., 1779"
"Leontodon saxatilis subsp. saxatilis Lam., 1779"
"Leonurus cardiaca L., 1753"
"Lepidium campestre (L.) R.Br., 1812"
"Lepidium densiflorum Schrad., 1832"
"Lepidium didymum L., 1767"
"Lepidium draba L., 1753"
"Lepidium graminifolium L., 1759"
"Lepidium heterophyllum Benth., 1826"
"Lepidium latifolium L., 1753"
"Lepidium ruderale L., 1753"
"Lepidium squamatum Forssk., 1775"
"Lepidium virginicum L., 1753"
"Leucanthemum ircutianum DC., 1838"
"Leucanthemum vulgare Lam., 1779"
"Libanotis pyrenaica (L.) O.Schwarz, 1949"
"Libanotis pyrenaica subsp. pyrenaica (L.) O.Schwarz, 1949"
"Ligustrum vulgare L., 1753"
"Limodorum abortivum (L.) Sw., 1799"
"Limosella aquatica L., 1753"
"Linaria arvensis (L.) Desf., 1799"
"Linaria pelisseriana (L.) Mill., 1768"
"Linaria repens (L.) Mill., 1768"
"Linaria supina (L.) Chaz., 1790"
"Linaria vulgaris Mill., 1768"
"Linaria x sepium Allman, 1843"
"Linum catharticum L., 1753"
"Linum leonii F.W.Schultz, 1838"
"Linum tenuifolium L., 1753"
"Linum trigynum L., 1753"
"Linum usitatissimum L., 1753"
"Linum usitatissimum subsp. angustifolium (Huds.) Thell., 1912"
"Linum usitatissimum subsp. usitatissimum L., 1753"
"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch, 2012"
"Liparis loeselii (L.) Rich., 1817"
"Lithospermum officinale L., 1753"
"Littorella uniflora (L.) Asch., 1864"
"Lobelia urens L., 1753"
"Logfia gallica (L.) Coss. & Germ., 1843"
"Logfia minima (Sm.) Dumort., 1827"
"Lolium multiflorum Lam., 1779"
"Lolium perenne L., 1753"
"Lolium temulentum L., 1753"
"Lolium x boucheanum Kunth, 1830"
"Lomelosia argentea (L.) Greuter & Burdet, 1985"
"Loncomelos pyrenaicus (L.) Hrouda, 1988"
"Loncomelos pyrenaicus subsp. pyrenaicus (L.) Hrouda, 1988"
"Lonicera periclymenum L., 1753"
"Lonicera periclymenum subsp. periclymenum L., 1753"
"Lonicera xylosteum L., 1753"
"Lotus corniculatus L., 1753"
"Lotus corniculatus subsp. corniculatus L., 1753"
"Lotus glaber Mill., 1768"
"Lotus maritimus L., 1753"
"Lotus pedunculatus Cav., 1793"
"Ludwigia grandiflora (Michx.) Greuter & Burdet, 1987"
"Ludwigia grandiflora subsp. hexapetala (Hook. & Arn.) G.L.Nesom & Kartesz, 2000"
"Ludwigia palustris (L.) Elliott, 1817"
"Ludwigia peploides (Kunth) P.H.Raven, 1963"
"Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven, 1964"
"Luronium natans (L.) Raf., 1840"
"Luzula campestris (L.) DC., 1805"
"Luzula campestris subsp. campestris (L.) DC., 1805"
"Luzula congesta (Thuill.) Lej., 1811"
"Luzula forsteri (Sm.) DC., 1806"
"Luzula multiflora (Ehrh.) Lej., 1811"
"Luzula multiflora subsp. multiflora (Ehrh.) Lej., 1811"
"Luzula pilosa (L.) Willd., 1809"
"Luzula sylvatica (Huds.) Gaudin, 1811"
"Luzula sylvatica subsp. sylvatica (Huds.) Gaudin, 1811"
"Lychnis flos-cuculi L., 1753"
"Lychnis flos-cuculi subsp. flos-cuculi L., 1753"
"Lycium barbarum L., 1753"
"Lycopodiella inundata (L.) Holub, 1964"
"Lycopodium clavatum L., 1753"
"Lycopodium clavatum subsp. clavatum L., 1753"
"Lycopodium tristachyum Pursh, 1814"
"Lycopsis arvensis L., 1753"
"Lycopus europaeus L., 1753"
"Lysimachia arvensis (L.) U.Manns & Anderb., 2009"
"Lysimachia arvensis subsp. arvensis (L.) U.Manns & Anderb., 2009"
"Lysimachia foemina (Mill.) U.Manns & Anderb., 2009"
"Lysimachia minima (L.) U.Manns & Anderb., 2009"
"Lysimachia nemorum L., 1753"
"Lysimachia nummularia L., 1753"
"Lysimachia tenella L., 1753"
"Lysimachia vulgaris L., 1753"
"Lythrum hyssopifolia L., 1753"
"Lythrum portula (L.) D.A.Webb, 1967"
"Lythrum salicaria L., 1753"
"Maianthemum bifolium (L.) F.W.Schmidt, 1794"
"Malus sylvestris Mill., 1768"
"Malva alcea L., 1753"
"Malva moschata L., 1753"
"Malva neglecta Wallr., 1824"
"Malva setigera Spenn., 1829"
"Malva sylvestris L., 1753"
"Marrubium vulgare L., 1753"
"Matricaria chamomilla L., 1753"
"Matricaria discoidea DC., 1838"
"Medicago arabica (L.) Huds., 1762"
"Medicago lupulina L., 1753"
"Medicago lupulina var. lupulina L., 1753"
"Medicago minima (L.) L., 1754"
"Medicago monspeliaca (L.) Trautv., 1841"
"Medicago orbicularis (L.) Bartal., 1776"
"Medicago polymorpha L., 1753"
"Medicago rigidula (L.) All., 1785"
"Medicago sativa L., 1753"
"Medicago sativa subsp. falcata (L.) Arcang., 1882"
"Medicago sativa subsp. sativa L., 1753"
"Melampyrum arvense L., 1753"
"Melampyrum cristatum L., 1753"
"Melampyrum pratense L., 1753"
"Melica ciliata L., 1753"
"Melica ciliata subsp. ciliata L., 1753"
"Melica nutans L., 1753"
"Melica uniflora Retz., 1779"
"Melilotus albus Medik., 1787"
"Melilotus altissimus Thuill., 1799"
"Melilotus officinalis (L.) Lam., 1779"
"Melissa officinalis L., 1753"
"Melissa officinalis subsp. officinalis L., 1753"
"Melittis melissophyllum L., 1753"
"Melittis melissophyllum subsp. melissophyllum L., 1753"
"Mentha aquatica L., 1753"
"Mentha arvensis L., 1753"
"Mentha pulegium L., 1753"
"Mentha suaveolens Ehrh., 1792"
"Mentha suaveolens subsp. suaveolens Ehrh., 1792"
"Menyanthes trifoliata L., 1753"
"Mercurialis annua L., 1753"
"Mercurialis perennis L., 1753"
"Mibora minima (L.) Desv., 1818"
"Micropyrum tenellum (L.) Link, 1844"
"Microthlaspi perfoliatum (L.) F.K.Mey., 1973"
"Milium effusum L., 1753"
"Minuartia hybrida (Vill.) Schischk., 1936"
"Minuartia hybrida subsp. tenuifolia (L.) Kerguélen, 1993"
"Minuartia setacea (Thuill.) Hayek, 1911"
"Minuartia viscosa (Schreb.) Schinz & Thell., 1907"
"Misopates orontium (L.) Raf., 1840"
"Moehringia trinervia (L.) Clairv., 1811"
"Moenchia erecta (L.) G.Gaertn., B.Mey. & Scherb., 1799"
"Molinia caerulea (L.) Moench, 1794"
"Monotropa hypopitys L., 1753"
"Montia arvensis Wallr., 1840"
"Montia fontana L., 1753"
"Muscari comosum (L.) Mill., 1768"
"Muscari neglectum Guss. ex Ten., 1842"
"Myosotis arvensis (L.) Hill, 1764"
"Myosotis discolor Pers., 1797"
"Myosotis dubia Arrond., 1869"
"Myosotis laxa Lehm., 1818"
"Myosotis laxa subsp. cespitosa (Schultz) Hyl. ex Nordh., 1940"
"Myosotis nemorosa Besser, 1821"
"Myosotis ramosissima Rochel, 1814"
"Myosotis ramosissima subsp. ramosissima Rochel, 1814"
"Myosotis scorpioides L., 1753"
"Myosotis stricta Link ex Roem. & Schult., 1819"
"Myosotis sylvatica Hoffm., 1791"
"Myosoton aquaticum (L.) Moench, 1794"
"Myosurus minimus L., 1753"
"Myrica gale L., 1753"
"Myriophyllum alterniflorum DC., 1815"
"Myriophyllum heterophyllum Michx., 1803"
"Myriophyllum spicatum L., 1753"
"Myriophyllum verticillatum L., 1753"
"Najas marina L., 1753"
"Najas marina subsp. marina L., 1753"
"Najas minor All., 1773"
"Narcissus pseudonarcissus L., 1753"
"Narcissus pseudonarcissus subsp. pseudonarcissus L., 1753"
"Nardus stricta L., 1753"
"Nasturtium microphyllum Boenn. ex Rchb., 1832"
"Nasturtium officinale W.T.Aiton, 1812"
"Neotinea ustulata (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997"
"Neotinea ustulata var. aestivalis (Kümpel) Tali, M.F.Fay & R.M.Bateman, 2006"
"Neottia nidus-avis (L.) Rich., 1817"
"Neottia ovata (L.) Bluff & Fingerh., 1837"
"Nepeta cataria L., 1753"
"Neslia paniculata (L.) Desv., 1815"
"Neslia paniculata subsp. thracica (Velen.) Bornm., 1894"
"Nigella arvensis L., 1753"
"Nigella arvensis subsp. arvensis L., 1753"
"Noccaea montana (L.) F.K.Mey., 1973"
"Noccaea montana subsp. montana (L.) F.K.Mey., 1973"
"Nuphar lutea (L.) Sm., 1809"
"Nymphaea alba L., 1753"
"Nymphoides peltata (S.G.Gmel.) Kuntze, 1891"
"Odontites jaubertianus (Boreau) D.Dietr. ex Walp., 1844"
"Odontites jaubertianus var. jaubertianus (Boreau) D.Dietr. ex Walp., 1844"
"Odontites vernus (Bellardi) Dumort., 1827"
"Odontites vernus subsp. serotinus (Coss. & Germ.) Corb., 1894"
"Odontites vernus subsp. vernus (Bellardi) Dumort., 1827"
"Oenanthe aquatica (L.) Poir., 1798"
"Oenanthe crocata L., 1753"
"Oenanthe fistulosa L., 1753"
"Oenanthe fluviatilis (Bab.) Coleman, 1844"
"Oenanthe lachenalii C.C.Gmel., 1805"
"Oenanthe peucedanifolia Pollich, 1776"
"Oenanthe pimpinelloides L., 1753"
"Oenanthe silaifolia M.Bieb., 1819"
"Oenothera biennis L., 1753"
"Oenothera glazioviana Micheli, 1875"
"Oenothera laciniata Hill, 1768"
"Oenothera parviflora L., 1759"
"Omalotheca sylvatica (L.) Sch.Bip. & F.W.Schultz, 1861"
"Onobrychis viciifolia Scop., 1772"
"Ononis natrix L., 1753"
"Ononis pusilla L., 1759"
"Ononis spinosa L., 1753"
"Ononis spinosa subsp. procurrens (Wallr.) Briq., 1913"
"Ononis spinosa subsp. spinosa L., 1753"
"Onopordum acanthium L., 1753"
"Ophioglossum azoricum C.Presl, 1845"
"Ophioglossum vulgatum L., 1753"
"Ophrys apifera Huds., 1762"
"Ophrys aranifera Huds., 1778"
"Ophrys aranifera subsp. aranifera Huds., 1778"
"Ophrys fuciflora (F.W.Schmidt) Moench, 1802"
"Ophrys insectifera L., 1753"
"Ophrys virescens Philippe, 1859"
"Orchis anthropophora (L.) All., 1785"
"Orchis mascula (L.) L., 1755"
"Orchis mascula subsp. mascula (L.) L., 1755"
"Orchis militaris L., 1753"
"Orchis purpurea Huds., 1762"
"Orchis simia Lam., 1779"
"Oreopteris limbosperma (Bellardi ex All.) Holub, 1969"
"Oreoselinum nigrum Delarbre, 1800"
"Origanum vulgare L., 1753"
"Origanum vulgare subsp. vulgare L., 1753"
"Orlaya grandiflora (L.) Hoffm., 1814"
"Ornithopus perpusillus L., 1753"
"Orobanche alba Stephan ex Willd., 1800"
"Orobanche amethystea Thuill., 1799"
"Orobanche caryophyllacea Sm., 1798"
"Orobanche gracilis Sm., 1798"
"Orobanche hederae Vaucher ex Duby, 1828"
"Orobanche minor Sm., 1797"
"Orobanche picridis F.W.Schultz, 1830"
"Orobanche rapum-genistae Thuill., 1799"
"Orobanche teucrii Holandre, 1829"
"Osmunda regalis L., 1753"
"Oxalis acetosella L., 1753"
"Oxalis corniculata L., 1753"
"Oxalis dillenii Jacq., 1794"
"Oxalis fontana Bunge, 1835"
"Oxybasis glauca (L.) S.Fuentes, Uotila & Borsch, 2012"
"Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch, 2012"
"Panicum capillare L., 1753"
"Panicum miliaceum L., 1753"
"Papaver argemone L., 1753"
"Papaver argemone subsp. argemone L., 1753"
"Papaver dubium L., 1753"
"Papaver hybridum L., 1753"
"Papaver rhoeas L., 1753"
"Papaver somniferum L., 1753"
"Papaver somniferum subsp. somniferum L., 1753"
"Parietaria judaica L., 1756"
"Parietaria officinalis L., 1753"
"Paris quadrifolia L., 1753"
"Parnassia palustris L., 1753"
"Parthenocissus inserta (A.Kern.) Fritsch, 1922"
"Paspalum dilatatum Poir., 1804"
"Pastinaca sativa L., 1753"
"Pedicularis palustris L., 1753"
"Pedicularis palustris subsp. palustris L., 1753"
"Pedicularis sylvatica L., 1753"
"Pedicularis sylvatica subsp. sylvatica L., 1753"
"Pentaglottis sempervirens (L.) Tausch ex L.H.Bailey, 1949"
"Persicaria amphibia (L.) Gray, 1821"
"Persicaria hydropiper (L.) Spach, 1841"
"Persicaria lapathifolia (L.) Delarbre, 1800"
